Date,Open,High,Low,Close,Volume,Ticker,Company
2019-01-02,28350,28550,26650,26750,1621370,064350,Hyundai Rotem
2019-01-03,27000,29150,26650,28450,2698290,064350,Hyundai Rotem
2019-01-04,28200,28300,27600,28100,1072464,064350,Hyundai Rotem
2019-01-07,28600,28850,28200,28250,1105569,064350,Hyundai Rotem
2019-01-08,28450,29450,28350,28700,2009963,064350,Hyundai Rotem
2019-01-09,29050,29100,28600,28700,982343,064350,Hyundai Rotem
2019-01-10,28850,29000,27700,27800,1383820,064350,Hyundai Rotem
2019-01-11,27850,28600,27650,28300,1064494,064350,Hyundai Rotem
2019-01-14,28600,29650,28400,29650,2351486,064350,Hyundai Rotem
2019-01-15,29500,30050,29200,29650,1728082,064350,Hyundai Rotem
2019-01-16,30000,30350,29600,29650,1413622,064350,Hyundai Rotem
2019-01-17,29850,30000,28350,28750,1427278,064350,Hyundai Rotem
2019-01-18,28850,29350,28500,28750,1097437,064350,Hyundai Rotem
2019-01-21,28900,29150,28000,28100,978644,064350,Hyundai Rotem
2019-01-22,28100,28650,28000,28100,665295,064350,Hyundai Rotem
2019-01-23,28100,28450,28050,28350,604331,064350,Hyundai Rotem
2019-01-24,28550,28800,27800,27850,979657,064350,Hyundai Rotem
2019-01-25,26950,28050,26750,27950,1730662,064350,Hyundai Rotem
2019-01-28,28000,28000,27350,27450,840192,064350,Hyundai Rotem
2019-01-29,27250,27550,26050,26150,1766229,064350,Hyundai Rotem
2019-01-30,26550,27050,26350,26500,1095945,064350,Hyundai Rotem
2019-01-31,26700,26900,26150,26450,673701,064350,Hyundai Rotem
2019-02-01,26950,28950,26750,28400,3329269,064350,Hyundai Rotem
2019-02-07,29450,29900,28750,29400,2306251,064350,Hyundai Rotem
2019-02-08,29000,29800,28750,29550,1306581,064350,Hyundai Rotem
2019-02-11,29750,29750,28650,28800,1152826,064350,Hyundai Rotem
2019-02-12,28700,29250,28150,28500,927003,064350,Hyundai Rotem
2019-02-13,28650,28750,28100,28200,834767,064350,Hyundai Rotem
2019-02-14,28100,28300,27350,27850,950687,064350,Hyundai Rotem
2019-02-15,27700,28250,27600,28100,725743,064350,Hyundai Rotem
2019-02-18,28450,28500,28050,28300,530152,064350,Hyundai Rotem
2019-02-19,28650,29250,28550,28850,1250779,064350,Hyundai Rotem
2019-02-20,29500,29550,28550,28600,1040220,064350,Hyundai Rotem
2019-02-21,28700,28900,27650,28050,969730,064350,Hyundai Rotem
2019-02-22,28050,28750,28050,28450,716084,064350,Hyundai Rotem
2019-02-25,28500,28650,27800,27950,1036448,064350,Hyundai Rotem
2019-02-26,28300,29650,28300,29200,2774389,064350,Hyundai Rotem
2019-02-27,29600,29750,29050,29500,1872443,064350,Hyundai Rotem
2019-02-28,29800,29800,23750,25900,4488599,064350,Hyundai Rotem
2019-01-02,39400,39400,38550,38750,7847664,005930,Samsung
2019-01-03,38300,38550,37450,37600,12471493,005930,Samsung
2019-01-04,37450,37600,36850,37450,14108958,005930,Samsung
2019-01-07,38000,38900,37800,38750,12748997,005930,Samsung
2019-01-08,38000,39200,37950,38100,12756554,005930,Samsung
